sep=,
"Time","I45 - %","I49 - %","I50 - %","I52 - %","I53 - %","I54 - %","I55 - %","I56 - %","I57 - %","I58 - %"
2026-07-05 07:00:00,100%,100%,100%,100%,,71.6%,100%,71.6%,100%,71.4%
2026-07-05 09:00:00,100%,100%,,91.4%,100%,71.5%,98.3%,71.6%,100%,71.6%
2026-07-05 11:00:00,100%,100%,,79.1%,100%,90.2%,75.3%,71.6%,100%,71.6%
2026-07-05 13:00:00,90.0%,98.5%,,71.8%,100%,100%,71.6%,95.3%,100%,71.2%
2026-07-05 15:00:00,71.6%,79.3%,,71.6%,100%,100%,71.6%,100%,82.3%,55.7%
2026-07-05 17:00:00,71.6%,71.8%,,71.6%,100%,100%,71.5%,100%,72.2%,33.6%
2026-07-05 19:00:00,71.4%,71.6%,100%,71.6%,100%,100%,71.5%,100%,71.6%,46.1%
2026-07-05 21:00:00,98.9%,71.6%,100%,62.5%,100%,97.7%,73.0%,100%,71.5%,100%
2026-07-05 23:00:00,100%,71.6%,100%,52.4%,100%,78.4%,100%,99.5%,71.5%,100%
2026-07-06 01:00:00,100%,92.8%,100%,100%,96.5%,71.6%,100%,84.2%,71.5%,100%
2026-07-06 03:00:00,100%,100%,100%,100%,76.4%,71.6%,100%,71.6%,,100%
2026-07-06 05:00:00,100%,100%,100%,100%,71.6%,71.7%,100%,71.6%,,100%
2026-07-06 07:00:00,99.7%,100%,100%,100%,71.6%,71.6%,100%,71.6%,,100%
2026-07-06 09:00:00,98.8%,100%,100%,99.8%,71.6%,71.4%,89.8%,71.5%,76.8%,98.0%
2026-07-06 11:00:00,77.3%,94.3%,100%,90.2%,71.6%,89.7%,71.9%,72.1%,,93.7%
2026-07-06 13:00:00,71.5%,77.5%,98.5%,71.7%,100%,100%,71.6%,100%,,100%
2026-07-06 15:00:00,71.6%,71.6%,73.1%,71.6%,100%,100%,71.6%,100%,,100%
2026-07-06 17:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.5%,100%,,100%
2026-07-06 19:00:00,71.5%,71.6%,71.6%,71.6%,100%,100%,69.2%,100%,,100.0%
2026-07-06 21:00:00,68.1%,71.6%,71.6%,66.3%,100%,100%,37.8%,100%,,98.3%
2026-07-06 23:00:00,38.4%,53.0%,71.3%,63.7%,100%,100.0%,100%,99.4%,100%,73.6%
2026-07-07 01:00:00,100%,44.2%,97.4%,100%,91.8%,92.3%,100%,84.5%,100%,71.5%
2026-07-07 03:00:00,,100%,100%,100%,72.0%,75.0%,100%,72.3%,100%,70.7%
2026-07-07 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,71.6%,100%,71.4%
2026-07-07 07:00:00,100%,100%,100%,100%,71.6%,72.1%,100.0%,71.6%,100%,71.6%
2026-07-07 09:00:00,100%,100%,100%,100%,71.6%,,79.8%,86.3%,100%,71.5%
2026-07-07 11:00:00,94.8%,100%,99.0%,100.0%,72.0%,100%,73.3%,100%,100%,69.9%
2026-07-07 13:00:00,71.6%,100%,74.3%,96.6%,100%,100%,71.5%,100%,100%,78.6%
2026-07-07 15:00:00,,,,,,,,,100%,
2026-07-07 17:00:00,71.6%,100%,71.6%,87.1%,,100%,71.6%,100%,100%,100%
2026-07-07 19:00:00,71.6%,76.1%,71.6%,71.6%,100%,100%,71.6%,100%,100%,100%
2026-07-07 21:00:00,71.6%,72.5%,71.6%,71.6%,100%,100%,71.3%,100%,98.0%,100%
2026-07-07 23:00:00,85.3%,71.6%,71.6%,76.9%,100%,100.0%,84.4%,83.9%,84.6%,100%
2026-07-08 01:00:00,100%,71.6%,71.6%,100%,100%,99.0%,100%,71.6%,100%,100%
2026-07-08 03:00:00,100%,86.4%,82.9%,100%,88.4%,79.8%,100%,71.6%,100%,100%
2026-07-08 05:00:00,100%,100%,100%,100%,71.7%,71.6%,100%,71.4%,100%,79.6%
2026-07-08 07:00:00,100%,100%,100%,100%,71.6%,78.6%,100%,71.3%,100%,71.6%
2026-07-08 09:00:00,99.1%,100%,100%,100%,71.6%,100%,92.0%,69.9%,100%,71.6%
2026-07-08 11:00:00,72.7%,100%,100%,100%,71.5%,100%,71.6%,44.0%,100%,71.6%
2026-07-08 13:00:00,71.6%,100%,100%,99.8%,92.5%,100%,71.6%,33.2%,95.1%,97.8%
2026-07-08 15:00:00,71.6%,100%,100%,86.8%,100%,100%,71.6%,100%,72.6%,100%
2026-07-08 17:00:00,71.6%,100.0%,100%,71.7%,100%,100%,71.6%,100%,71.6%,100%
2026-07-08 19:00:00,71.6%,77.9%,100%,71.6%,100%,100%,71.2%,100%,71.6%,100%
2026-07-08 21:00:00,71.5%,71.7%,100%,71.6%,100%,100%,45.1%,100%,71.6%,100%
2026-07-08 23:00:00,72.9%,71.6%,94.7%,85.7%,93.1%,94.1%,99.9%,86.3%,71.8%,100%
2026-07-09 01:00:00,100%,71.6%,90.0%,100%,72.8%,73.9%,100%,71.7%,100%,89.8%
2026-07-09 03:00:00,100%,85.0%,100%,100%,71.6%,71.6%,100%,71.6%,100%,71.7%
2026-07-09 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,71.6%,100%,71.6%
2026-07-09 07:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,71.4%,100%,71.5%
2026-07-09 09:00:00,99.3%,100%,100%,100%,71.6%,71.5%,100%,71.3%,100%,71.4%
2026-07-09 11:00:00,77.6%,100%,99.4%,100%,98.7%,83.5%,91.1%,41.0%,97.6%,100%
2026-07-09 13:00:00,71.6%,100.0%,79.8%,96.8%,100%,100%,72.4%,28.8%,76.0%,100%
2026-07-09 15:00:00,71.6%,99.1%,71.5%,82.4%,100%,100%,71.6%,62.1%,71.6%,100%
2026-07-09 17:00:00,71.5%,73.7%,71.6%,71.7%,100%,100%,71.5%,100%,71.6%,100%
2026-07-09 19:00:00,71.6%,71.6%,71.4%,71.6%,97.4%,100%,71.4%,100%,71.5%,100%
2026-07-09 21:00:00,60.7%,71.6%,71.0%,71.5%,81.2%,100%,75.1%,100%,71.5%,100%
2026-07-09 23:00:00,77.2%,71.6%,64.7%,73.9%,71.6%,100%,100%,100%,78.4%,82.3%
2026-07-10 01:00:00,100%,71.2%,100%,100%,71.6%,100.0%,100%,97.9%,100%,71.6%
2026-07-10 03:00:00,100%,100%,100%,100%,71.5%,78.8%,100%,73.7%,100%,71.6%
2026-07-10 05:00:00,100%,100%,100%,100%,71.5%,71.7%,100%,71.6%,100%,71.5%
2026-07-10 07:00:00,100%,100%,100%,100%,65.1%,71.6%,100.0%,71.4%,100%,71.5%
2026-07-10 09:00:00,98.2%,100%,97.5%,100.0%,32.2%,71.6%,84.0%,71.6%,100%,66.7%
2026-07-10 11:00:00,73.5%,100.0%,73.5%,77.9%,77.9%,71.6%,71.6%,71.5%,100%,46.3%
2026-07-10 13:00:00,71.4%,94.0%,71.6%,71.6%,100%,72.8%,71.6%,64.7%,86.0%,100%
2026-07-10 15:00:00,71.6%,73.8%,71.6%,71.6%,100%,100%,71.6%,79.6%,71.7%,100%
2026-07-10 17:00:00,71.6%,75.7%,71.6%,71.6%,100%,100%,71.6%,100%,71.6%,100%
2026-07-10 19:00:00,71.6%,,71.6%,71.6%,99.9%,100%,71.5%,100%,71.6%,100%
2026-07-10 21:00:00,71.5%,100%,58.2%,60.4%,79.7%,100%,71.1%,100%,71.6%,100%
2026-07-10 23:00:00,95.3%,100%,36.8%,36.6%,71.6%,100%,64.7%,100%,73.9%,94.8%
2026-07-11 01:00:00,100%,100%,100%,100%,71.6%,100%,100%,100%,100%,76.1%
2026-07-11 03:00:00,100%,100%,100%,100%,71.5%,96.5%,100%,100%,100%,71.6%
2026-07-11 05:00:00,100%,99.8%,100%,100%,71.6%,72.8%,100%,100%,100%,71.6%
2026-07-11 07:00:00,100%,87.0%,100%,100%,71.6%,71.6%,100%,91.2%,100%,71.6%
2026-07-11 09:00:00,100%,72.1%,100%,100%,40.3%,72.9%,99.9%,71.9%,100%,71.6%
2026-07-11 11:00:00,99.4%,71.6%,100%,100%,27.7%,100%,82.1%,76.7%,100%,71.4%
2026-07-11 13:00:00,93.6%,71.6%,100%,98.5%,35.2%,100%,71.6%,100%,91.3%,66.5%
2026-07-11 15:00:00,73.6%,71.6%,100%,74.4%,100%,100%,71.6%,100%,71.7%,100%
2026-07-11 17:00:00,,71.6%,96.9%,71.6%,100%,100%,71.6%,100%,71.6%,100%
2026-07-11 19:00:00,,68.0%,73.7%,71.6%,100%,100%,71.5%,100%,,100%
2026-07-11 21:00:00,71.6%,39.0%,99.0%,71.6%,100%,100%,70.5%,100%,100%,100%
2026-07-11 23:00:00,73.9%,29.1%,100%,75.0%,98.4%,100%,57.4%,88.4%,100%,100%
2026-07-12 01:00:00,,58.8%,100%,100%,84.8%,100.0%,100%,71.9%,100%,100%
2026-07-12 03:00:00,,100%,100%,100%,72.3%,87.1%,100%,71.6%,100%,100%
2026-07-12 05:00:00,,100%,100%,100%,71.6%,71.6%,100%,71.6%,100%,100%
2026-07-12 07:00:00,,100%,100%,100%,71.6%,71.6%,100.0%,71.6%,100%,80.8%
2026-07-12 09:00:00,,100%,100%,100%,84.4%,71.6%,100%,71.6%,87.0%,67.7%
2026-07-12 11:00:00,,100%,100%,92.2%,100%,89.9%,78.3%,71.5%,71.9%,73.0%
2026-07-12 13:00:00,,99.8%,100%,72.4%,100%,100%,71.6%,81.7%,71.6%,100%
2026-07-12 15:00:00,,80.7%,100%,71.6%,100%,100%,71.5%,100%,71.6%,100%
2026-07-12 17:00:00,,71.6%,98.2%,71.6%,100%,100%,71.4%,100%,71.4%,100%
2026-07-12 19:00:00,,74.1%,74.8%,71.5%,97.0%,100%,71.4%,100%,71.1%,100%
2026-07-12 21:00:00,,100%,71.6%,71.5%,74.2%,100%,48.1%,100%,56.3%,100%
2026-07-12 23:00:00,,100%,77.4%,43.8%,71.6%,99.1%,34.8%,96.4%,32.0%,93.3%
2026-07-13 01:00:00,,100%,100%,68.3%,71.6%,85.7%,100%,71.8%,83.5%,71.9%
2026-07-13 03:00:00,100%,100%,100%,100%,71.6%,77.6%,100%,69.9%,100%,71.0%
2026-07-13 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,70.4%,100%,71.6%
2026-07-13 07:00:00,100%,95.2%,100%,100%,62.1%,71.6%,100%,71.6%,100%,71.6%
2026-07-13 09:00:00,100%,71.7%,100%,100%,41.7%,71.6%,100%,71.2%,100%,71.5%
2026-07-13 11:00:00,100%,71.6%,76.1%,100%,100%,75.4%,100%,74.1%,97.8%,43.9%
2026-07-13 13:00:00,100%,71.6%,71.6%,89.8%,100%,100%,90.1%,100%,83.7%,60.9%
2026-07-13 15:00:00,100%,71.6%,71.6%,71.7%,100%,100%,74.4%,100%,71.7%,100%
2026-07-13 17:00:00,100%,71.4%,71.6%,71.6%,100%,100%,71.6%,100%,71.6%,100%
2026-07-13 19:00:00,100%,55.9%,71.6%,71.6%,100.0%,100%,71.6%,100%,71.6%,100%
2026-07-13 21:00:00,86.7%,29.9%,64.4%,86.9%,96.2%,100%,71.6%,100%,71.4%,100%
2026-07-13 23:00:00,89.1%,35.0%,67.5%,100%,72.1%,96.9%,71.0%,100%,66.8%,99.6%
2026-07-14 01:00:00,100%,100%,100%,100%,71.6%,76.6%,74.2%,97.6%,79.6%,75.8%
2026-07-14 03:00:00,100%,100%,100%,100%,71.6%,71.7%,100%,77.0%,100%,71.6%
2026-07-14 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,71.6%,100%,71.6%
2026-07-14 07:00:00,100%,100%,100%,100%,71.5%,71.6%,100%,71.6%,100%,71.6%
2026-07-14 09:00:00,100%,93.8%,100.0%,100%,58.6%,71.6%,100%,71.6%,100%,71.6%
2026-07-14 11:00:00,97.5%,72.0%,85.8%,100%,31.2%,74.7%,99.9%,71.4%,100%,79.6%
2026-07-14 13:00:00,82.4%,71.6%,71.6%,81.6%,33.9%,,81.9%,52.3%,98.8%,100%
2026-07-14 15:00:00,72.8%,71.6%,71.6%,71.7%,100%,100%,71.6%,34.4%,78.7%,100%
2026-07-14 17:00:00,71.6%,71.6%,71.4%,71.6%,100%,100%,73.4%,100%,71.7%,100%
2026-07-14 19:00:00,71.6%,71.6%,71.2%,71.6%,100%,100%,71.6%,100%,71.7%,100%
2026-07-14 21:00:00,71.6%,50.4%,61.0%,71.5%,100%,100%,74.4%,100%,71.6%,100.0%
2026-07-14 23:00:00,60.9%,29.8%,29.3%,84.6%,100%,100%,100%,100%,76.2%,82.8%
2026-07-15 01:00:00,93.9%,69.2%,51.5%,100%,100%,100%,100%,100%,100%,71.6%
2026-07-15 03:00:00,100%,100%,100%,100%,99.2%,100%,100%,91.3%,100%,71.6%
2026-07-15 05:00:00,100%,100%,100%,100%,85.6%,80.0%,100%,72.1%,100%,71.6%
2026-07-15 07:00:00,100%,100%,100%,100%,74.9%,71.6%,100%,71.6%,100%,71.5%
2026-07-15 09:00:00,100%,99.9%,100%,100.0%,71.6%,72.9%,100.0%,71.6%,100%,69.1%
2026-07-15 11:00:00,99.8%,86.5%,100%,77.8%,72.9%,,94.5%,71.4%,100%,65.2%
2026-07-15 13:00:00,74.2%,72.4%,90.9%,71.9%,100%,100%,72.5%,70.3%,97.1%,100%
2026-07-15 15:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.6%,97.7%,72.9%,100%
2026-07-15 17:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.6%,100%,71.7%,100%
2026-07-15 19:00:00,71.6%,71.6%,71.6%,71.5%,100%,100%,71.5%,100%,71.6%,100%
2026-07-15 21:00:00,71.5%,71.6%,71.4%,71.4%,100%,100%,71.3%,100%,71.5%,100%
2026-07-15 23:00:00,49.4%,79.7%,71.2%,75.1%,100%,100%,48.7%,100%,71.5%,82.2%
2026-07-16 01:00:00,100%,100%,90.8%,100%,100%,100%,100%,92.6%,79.5%,72.9%
2026-07-16 03:00:00,100%,100%,100%,100%,100%,98.4%,100%,71.7%,100%,71.6%
2026-07-16 05:00:00,100%,100%,100%,100%,98.3%,85.5%,100%,71.6%,100%,71.6%
2026-07-16 07:00:00,100%,100%,100%,100%,85.3%,77.9%,100%,71.3%,100%,71.6%
2026-07-16 09:00:00,100%,100%,98.6%,100%,72.5%,75.7%,100%,71.6%,100%,71.5%
2026-07-16 11:00:00,99.7%,97.5%,84.4%,93.9%,73.2%,100%,85.4%,71.5%,100%,93.1%
2026-07-16 13:00:00,82.5%,74.0%,71.8%,72.8%,100%,100%,71.7%,54.4%,100%,100%
2026-07-16 15:00:00,71.5%,72.1%,71.6%,71.6%,100%,100%,71.6%,50.2%,88.1%,100%
2026-07-16 17:00:00,71.5%,71.6%,71.5%,71.6%,100%,100%,71.6%,100%,71.8%,100%
2026-07-16 19:00:00,71.6%,71.6%,71.4%,71.6%,100%,99.9%,71.5%,100%,71.6%,100%
2026-07-16 21:00:00,71.4%,71.6%,63.9%,71.5%,100%,91.5%,68.9%,100%,71.6%,100%
2026-07-16 23:00:00,66.5%,68.1%,31.3%,52.3%,99.9%,72.1%,43.0%,100%,71.5%,100.0%
2026-07-17 01:00:00,100%,35.2%,86.5%,100%,85.6%,71.6%,100%,100%,90.9%,84.4%
2026-07-17 03:00:00,100%,100%,100%,100%,75.3%,71.6%,100%,100%,100%,71.7%
2026-07-17 05:00:00,100%,100%,,100%,71.6%,71.6%,100%,90.4%,100%,71.6%
2026-07-17 07:00:00,100%,100%,,100%,71.6%,71.5%,100%,73.0%,100%,71.6%
2026-07-17 09:00:00,100%,100%,,100%,88.3%,49.9%,100%,71.5%,100%,71.5%
2026-07-17 11:00:00,85.3%,100.0%,,97.6%,100%,29.6%,94.0%,71.6%,100%,94.3%
2026-07-17 13:00:00,71.6%,88.7%,,74.1%,100%,39.9%,72.0%,76.9%,92.2%,100%
2026-07-17 15:00:00,71.6%,71.8%,,71.6%,100%,100%,71.6%,100%,72.0%,100%
2026-07-17 17:00:00,71.6%,71.6%,100%,71.6%,100%,100%,71.6%,100%,71.6%,100%
2026-07-17 19:00:00,71.6%,71.6%,,71.6%,100%,100%,71.6%,100%,71.6%,100%
2026-07-17 21:00:00,71.5%,71.6%,100%,71.4%,100.0%,100%,70.7%,100%,71.5%,100.0%
2026-07-17 23:00:00,70.2%,64.2%,100%,37.3%,84.4%,100%,34.9%,100%,71.5%,77.1%
2026-07-18 01:00:00,100%,41.4%,100%,92.8%,71.8%,100.0%,28.3%,99.6%,100%,71.6%
2026-07-18 03:00:00,100%,100%,100%,100%,71.6%,87.2%,100%,79.1%,100%,71.6%
2026-07-18 05:00:00,100%,100%,100%,100%,71.6%,72.0%,,71.6%,100%,71.6%
2026-07-18 07:00:00,100%,100%,100%,100%,71.6%,71.6%,,71.4%,100%,71.6%
2026-07-18 09:00:00,99.7%,100%,100%,100%,77.6%,98.0%,,71.6%,100%,70.1%
2026-07-18 11:00:00,80.1%,100%,97.0%,94.4%,100%,100%,100%,71.5%,100%,68.7%
2026-07-18 13:00:00,71.6%,92.9%,73.6%,72.0%,100%,100%,,58.6%,96.0%,100%
2026-07-18 15:00:00,71.6%,72.5%,71.6%,71.6%,100%,100%,,97.4%,73.1%,100%
2026-07-18 17:00:00,71.6%,71.6%,71.6%,71.6%,100%,100.0%,,100%,71.7%,100%
2026-07-18 19:00:00,76.8%,71.6%,71.6%,71.6%,100%,91.2%,,100%,71.6%,100%
2026-07-18 21:00:00,100%,71.6%,71.4%,71.2%,99.9%,73.1%,,100%,71.6%,100%
2026-07-18 23:00:00,100%,71.4%,67.9%,62.6%,78.9%,71.6%,,100%,76.3%,97.6%
2026-07-19 01:00:00,100%,63.7%,,100%,71.6%,71.6%,100%,99.7%,100%,73.2%
2026-07-19 03:00:00,100%,72.7%,,100%,71.6%,71.6%,100%,74.7%,100%,71.6%
2026-07-19 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,69.9%,100%,71.6%
2026-07-19 07:00:00,95.9%,100%,100%,100%,71.6%,71.2%,100%,70.0%,100%,71.5%
2026-07-19 09:00:00,74.1%,100%,100%,100%,71.4%,44.5%,100%,71.5%,100%,71.4%
2026-07-19 11:00:00,71.6%,100%,100%,85.4%,46.8%,31.2%,100%,71.1%,88.4%,79.2%
2026-07-19 13:00:00,71.6%,100.0%,100%,72.9%,100%,100%,95.5%,53.9%,72.3%,100%
2026-07-19 15:00:00,71.6%,94.1%,100%,71.6%,100%,100%,73.7%,100%,71.5%,100%
2026-07-19 17:00:00,71.6%,75.7%,98.5%,71.6%,100%,100%,71.6%,100%,71.5%,100%
2026-07-19 19:00:00,71.3%,71.6%,73.1%,71.5%,100%,100%,71.6%,100%,71.5%,100%
2026-07-19 21:00:00,57.2%,71.6%,71.6%,66.0%,100%,99.7%,71.6%,100%,71.6%,96.4%
2026-07-19 23:00:00,89.1%,71.5%,71.6%,43.8%,99.0%,80.2%,98.8%,100%,83.0%,72.2%
2026-07-20 01:00:00,100%,72.8%,90.0%,100%,74.2%,71.6%,100%,93.4%,100%,71.6%
2026-07-20 03:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,69.2%,100%,71.6%
2026-07-20 05:00:00,100%,100%,100%,100%,71.6%,71.5%,100%,,100%,71.5%
2026-07-20 07:00:00,100%,100%,100%,100%,71.6%,71.4%,100%,,100%,71.4%
2026-07-20 09:00:00,99.1%,100%,100%,99.2%,71.6%,69.0%,99.9%,100%,100%,67.0%
2026-07-20 11:00:00,74.6%,100%,100%,77.2%,74.4%,92.4%,87.5%,100%,100.0%,41.4%
2026-07-20 13:00:00,71.6%,99.8%,88.4%,71.6%,100%,100%,71.8%,100%,85.1%,100%
2026-07-20 15:00:00,71.6%,80.9%,75.9%,71.9%,100%,100%,71.6%,100%,72.4%,100%
2026-07-20 17:00:00,,71.7%,,71.7%,100%,100%,71.6%,100%,71.6%,100%
2026-07-20 19:00:00,71.5%,71.6%,72.8%,72.9%,100%,100%,85.4%,92.7%,71.6%,100%
2026-07-20 21:00:00,71.4%,71.6%,91.3%,71.6%,100%,100%,100%,72.3%,71.6%,98.5%
2026-07-20 23:00:00,80.4%,71.5%,100%,80.3%,100%,100%,100%,71.6%,77.4%,80.8%
2026-07-21 01:00:00,100%,72.5%,100%,100%,99.6%,97.8%,100%,71.6%,100%,71.7%
2026-07-21 03:00:00,100%,100%,100%,100%,85.0%,75.0%,100%,71.5%,100%,71.6%
2026-07-21 05:00:00,100%,100%,100%,100%,71.7%,71.6%,100%,71.5%,100%,71.6%
2026-07-21 07:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,53.2%,100%,71.6%
2026-07-21 09:00:00,100.0%,100%,99.7%,100%,72.9%,71.5%,100.0%,32.4%,100.0%,71.5%
2026-07-21 11:00:00,94.1%,100%,74.5%,99.4%,100%,72.7%,91.3%,27.4%,93.2%,75.1%
2026-07-21 13:00:00,72.3%,91.1%,71.6%,74.8%,100%,100%,76.7%,26.3%,72.2%,100%
2026-07-21 15:00:00,71.6%,80.0%,71.6%,71.6%,100%,100%,71.6%,75.4%,71.6%,100%
2026-07-21 17:00:00,71.6%,72.4%,71.6%,71.6%,100%,100%,71.5%,100%,71.6%,100%
2026-07-21 19:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.6%,100%,71.6%,100%
2026-07-21 21:00:00,72.2%,73.5%,71.4%,71.6%,100%,100%,71.3%,100%,71.3%,100%
2026-07-21 23:00:00,100%,100%,63.3%,,100%,100%,98.0%,100%,70.7%,96.2%
2026-07-22 01:00:00,100%,100%,100%,100%,99.9%,94.5%,100%,100%,49.8%,75.1%
2026-07-22 03:00:00,100%,100%,100%,100%,84.6%,71.8%,100%,100%,100%,71.6%
2026-07-22 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,87.0%,100%,71.6%
2026-07-22 07:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,70.2%,100%,71.6%
2026-07-22 09:00:00,100%,100%,99.9%,99.9%,71.6%,71.6%,89.0%,71.6%,100%,71.6%
2026-07-22 11:00:00,96.7%,83.1%,85.8%,84.4%,71.6%,71.3%,71.7%,71.0%,100%,74.5%
2026-07-22 13:00:00,72.5%,71.9%,71.6%,71.6%,72.2%,100%,71.5%,85.7%,94.4%,
2026-07-22 15:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.6%,100%,74.1%,100%
2026-07-22 17:00:00,71.6%,71.6%,71.6%,71.6%,100%,100%,71.6%,100%,71.6%,100%
2026-07-22 19:00:00,71.6%,71.6%,71.6%,71.4%,100%,100%,68.8%,100%,71.6%,100%
2026-07-22 21:00:00,71.1%,71.6%,63.7%,46.6%,100%,100%,100%,100%,71.5%,100%
2026-07-22 23:00:00,69.5%,60.2%,35.0%,48.7%,100%,100%,100%,99.9%,82.8%,100%
2026-07-23 01:00:00,100%,38.3%,100%,100%,100%,99.6%,100%,81.8%,100%,87.2%
2026-07-23 03:00:00,100%,100%,100%,100%,90.5%,81.7%,100%,71.6%,100%,71.7%
2026-07-23 05:00:00,100%,100%,100%,100%,76.0%,71.7%,100%,71.5%,100%,71.6%
2026-07-23 07:00:00,100%,100%,100%,100%,71.6%,71.6%,92.2%,71.5%,100%,71.6%
2026-07-23 09:00:00,100.0%,100%,100%,100%,71.6%,71.6%,74.9%,71.5%,100%,71.5%
2026-07-23 11:00:00,89.4%,98.5%,99.6%,99.9%,76.9%,81.5%,71.6%,67.6%,98.0%,76.9%
2026-07-23 13:00:00,73.0%,87.7%,76.8%,99.8%,100%,100%,71.6%,38.0%,77.8%,100%
2026-07-23 15:00:00,71.6%,71.7%,71.6%,97.4%,100%,100%,71.6%,81.0%,71.6%,100%
2026-07-23 17:00:00,71.6%,71.6%,71.6%,,100%,100%,71.3%,100%,71.6%,100%
2026-07-23 19:00:00,71.6%,71.6%,71.6%,75.6%,100%,100%,70.4%,100%,71.6%,100%
2026-07-23 21:00:00,74.6%,71.6%,71.6%,71.7%,98.4%,100%,50.4%,100%,71.6%,97.9%
2026-07-23 23:00:00,100%,68.3%,97.4%,75.6%,78.1%,100%,34.4%,100%,69.1%,73.7%
2026-07-24 01:00:00,100%,36.0%,100%,100%,71.6%,96.2%,31.1%,100.0%,88.5%,71.6%
2026-07-24 03:00:00,100%,100%,100%,100%,71.6%,72.1%,100%,80.8%,100%,71.6%
2026-07-24 05:00:00,100%,100%,100%,100%,71.6%,71.6%,100%,70.1%,100%,71.6%
2026-07-24 07:00:00,100%,100%,100%,100%,71.5%,71.6%,100%,69.2%,100%,71.5%
2026-07-24 09:00:00,100%,100%,100%,100%,61.2%,71.6%,100%,71.3%,100%,67.3%
2026-07-24 11:00:00,91.4%,100%,89.7%,100%,31.9%,73.0%,100%,71.3%,100%,51.5%
2026-07-24 13:00:00,86.8%,99.8%,73.3%,100%,65.5%,100%,81.6%,70.7%,87.8%,100%
2026-07-24 15:00:00,73.0%,83.1%,71.6%,92.5%,100%,100%,71.6%,100%,71.6%,
2026-07-24 17:00:00,71.3%,73.4%,71.6%,82.0%,100%,100%,71.6%,100%,71.6%,
2026-07-24 19:00:00,70.8%,71.6%,71.6%,71.6%,100%,100%,71.5%,100%,,
2026-07-24 21:00:00,71.4%,71.6%,71.5%,71.6%,100%,100%,71.6%,100%,,
2026-07-24 23:00:00,73.0%,71.6%,73.7%,72.8%,100%,94.7%,94.0%,100%,71.6%,
2026-07-25 01:00:00,100%,76.8%,100%,100%,100%,77.1%,100%,98.0%,100%,100%
2026-07-25 03:00:00,100%,100%,100%,,99.7%,71.7%,100%,78.6%,100%,99.3%
2026-07-25 05:00:00,100%,100%,100%,,85.0%,71.6%,100%,71.0%,100%,76.9%
2026-07-25 07:00:00,100%,100%,100%,,73.4%,71.6%,100%,68.6%,100%,71.6%
2026-07-25 09:00:00,100%,100%,100%,100%,71.6%,71.6%,92.6%,71.0%,100%,97.1%
2026-07-25 11:00:00,100%,99.9%,85.8%,,73.4%,73.3%,73.2%,71.3%,100%,100%
2026-07-25 13:00:00,98.3%,74.1%,71.6%,,100%,100%,71.6%,71.4%,88.5%,100%
2026-07-25 15:00:00,90.3%,71.6%,71.6%,100%,100%,100%,71.5%,80.0%,71.9%,100%
2026-07-25 17:00:00,70.0%,71.6%,71.6%,,100%,100%,71.5%,100%,71.6%,100%
2026-07-25 19:00:00,70.9%,71.6%,71.5%,,100%,100%,71.4%,100%,71.6%,100%
2026-07-25 21:00:00,67.1%,71.6%,70.4%,,100%,99.9%,46.4%,100%,71.6%,100.0%
2026-07-25 23:00:00,70.3%,59.5%,34.9%,100%,97.2%,87.0%,45.4%,100%,74.6%,83.9%
2026-07-26 01:00:00,100%,33.7%,99.5%,100%,90.7%,73.1%,100%,100%,100%,71.6%
2026-07-26 03:00:00,100%,100%,100%,100%,71.6%,,100%,96.5%,100%,71.6%
2026-07-26 05:00:00,100%,100%,100%,100%,71.6%,,100%,72.2%,100%,71.6%
2026-07-26 07:00:00,100%,100%,100%,100%,71.6%,,100%,71.6%,100%,71.5%
2026-07-26 09:00:00,100%,100%,100%,100%,71.6%,,93.0%,71.4%,100%,68.4%
2026-07-26 11:00:00,93.2%,100%,95.2%,98.4%,71.8%,100%,72.6%,71.3%,100%,52.2%
2026-07-26 13:00:00,71.0%,84.7%,71.9%,,100%,,71.6%,59.5%,96.1%,100%
2026-07-26 15:00:00,69.7%,71.6%,71.6%,,100%,,71.6%,58.8%,73.8%,100%
2026-07-26 17:00:00,70.8%,71.6%,71.5%,,100%,,71.6%,100%,71.6%,100%
2026-07-26 19:00:00,70.8%,71.6%,71.3%,,100%,,71.6%,100%,71.5%,100%
2026-07-26 21:00:00,71.3%,71.6%,70.9%,,99.9%,,80.0%,100%,71.6%,100%
2026-07-26 23:00:00,52.4%,65.8%,38.8%,,94.5%,,100%,100%,71.5%,85.1%
